Airport_ID,Name,Type,IATA
31058,Fáskrúðsfjörður Airport,small_airport,FAS
31041,Fagurhólsmýri Airport,small_airport,FAG
31559,Grundarfjörður Airport,small_airport,GUU
31531,Gjögur Airport,small_airport,GJR
31549,Grímsey Airport,small_airport,GRY
31656,Hólmavík Airport,small_airport,HVK
120,Hornafjörður Airport,medium_airport,HFN
30726,Holt Airport,small_airport,FLI
121,Húsavík Airport,medium_airport,HZK
31657,Krókstaðarmelar Airport,small_airport,HVM
31603,Ingjaldssanður Airport,small_airport,HLO
122,Ísafjörður Airport,medium_airport,IFJ
312757,Biliau Airport,closed,BIJ
123,Keflavik International Airport,large_airport,KEF
32121,Kópasker Airport,small_airport,OPA
32246,Sauðárkrókur Airport,small_airport,SAK
32044,Norðfjörður Airport,small_airport,NOR
32096,Ólafsfjörður Airport,small_airport,OFJ
124,Patreksfjörður Airport,small_airport,PFJ
32207,Reykhólar Airport,small_airport,RHA
30741,Rif Airport,small_airport,OLI
32205,Raufarhöfn Airport,small_airport,RFN
125,Reykjavik Airport,medium_airport,RKV
31973,Reykjahlíð Airport,small_airport,MVA
126,Siglufjörður Airport,medium_airport,SIJ
32415,Stykkishólmur Airport,small_airport,SYK
32436,Þingeyri Airport,small_airport,TEY
127,Thorshofn Airport,small_airport,THO
128,Vestmannaeyjar Airport,medium_airport,VEY
32593,Vopnafjörður Airport,small_airport,VPN
301807,Bimin Airport,closed,BIZ
300790,Baleela Airport,small_airport,BJE
300791,Bahja Airport,small_airport,BJQ
4614,Priština International Airport,large_airport,PRN
302041,Bomai Airport,small_airport,BMH
28482,Bamburi Airport,small_airport,BMQ
302044,Bamu Airport,small_airport,BMZ
16502,Baranof Warm Springs Float and Seaplane Base,seaplane_base,BNF
301975,Bodinumu Airport,small_airport,BNM
302045,Baganga airport,closed,BNQ
302046,Bundi Airport,small_airport,BNT
312758,Boana Airport,closed,BNV
313293,Banz Airport,closed,BNZ
41591,Rurenabaque Airport,small_airport,RBQ
41590,Baures Airport,small_airport,BVL
16503,Bolling Air Force Base,heliport,BOF
16504,Brookings Airport,small_airport,BOK
312759,Boku Airport,closed,BOQ
301979,Bosset Airport,small_airport,BOT
312780,Boang Airport,small_airport,BOV
302402,Batuna Aerodrome,small_airport,BPF
16505,Bartlett Cove Seaplane Base,seaplane_base,BQV
299171,Tucumã Airport,closed,TUZ
30637,Alenquer Airport,small_airport,ALT
312520,Whitesburg Municipal Airport,closed,BRG
301802,Bensbach Airport,small_airport,BSP
302396,Besakoa Airport,small_airport,BSV
46171,Bulolo Airport,small_airport,BUL
311040,Bolovip Airstrip,closed,BVP
302436,Esperadinha Airport,small_airport,BVR
31654,Hukuntsi Airport,small_airport,HUK
301800,Bawan Airport,small_airport,BWJ
301803,Bewani Airport,small_airport,BWP
302394,Blue Lagoon Seaplane Base,seaplane_base,BXL
310095,Bunsil Airport,small_airport,BXZ
16506,Boundary Airport,small_airport,BYA
302393,Bella Yella Airport,small_airport,BYL
300806,Beira Lake Seaplane Base,seaplane_base,BYV
44573,Hector Silva Airstrip,small_airport,BCV
42216,Big Creek Airport,medium_airport,BGK
30861,Caye Caulker Airport,medium_airport,CUK
30867,Caye Chapel Airport,medium_airport,CYC
42209,Corozal Municipal Airport,medium_airport,CZH
42207,Dangriga Airport,medium_airport,DGA
42213,Independence Airport,small_airport,INB
42214,Melinda Airport,small_airport,MDB
42212,Orange Walk Airport,small_airport,ORZ
42217,Placencia Airport,medium_airport,PLJ
35305,Punta Gorda Airport,medium_airport,PND
42210,Sartaneja Airport,medium_airport,SJX
32370,San Pedro Airport,medium_airport,SPR
42218,Matthew Spain Airport,small_airport,SQS
42211,Santa Cruz Airport,small_airport,STU
42208,Silver Creek Airport,small_airport,SVK
42215,Belize City Municipal Airport,medium_airport,TZA
302391,Bemolanga Airport,small_airport,BZM
315551,Buzzards Point Seaplane Base,closed,BZS
39699,Blissville Airport,closed,YYS
39741,Clinton Creek Airport,closed,YLM
39847,Lady Franklin Point Airport,closed,YUJ
39859,Lupin Airport,closed,YWO
39891,Mould Bay Airport,closed,YMD
39959,Rivers Airport,closed,YYI
39968,Saglek Airport,closed,YSV
40024,Terrace Bay Airport,closed,YTJ
40058,Winisk Airport,closed,YWN
298628,Stuart Island Airstrip,small_airport,YRR
299911,Mary River Aerodrome,small_airport,YMV
28174,Bedwell Harbour Seaplane Base,seaplane_base,YBW
28447,Tofino Harbour Seaplane Base,seaplane_base,YTP
28142,Bronson Creek Airport,closed,YBM
28155,Alice Arm/Silver City Seaplane Base,closed,ZAA
28332,Nanaimo Harbour Water Airport,seaplane_base,ZNA
614,Trail Airport,small_airport,YZZ
615,Merritt Airport,small_airport,YMB
28465,Whistler/Green Lake Water Aerodrome,seaplane_base,YWS
28169,Bamfield Seaplane Base,seaplane_base,YBF
619,Chilko Lake (Tsylos Park Lodge) Airport,small_airport,CJH
28364,Pender Harbour Seaplane Base,seaplane_base,YPT
28346,Ocean Falls Seaplane Base,seaplane_base,ZOF
620,Courtenay Airpark,small_airport,YCA
623,Creston Valley Regional Airport - Art Sutcliffe Field,small_airport,CFQ
624,Anahim Lake Airport,small_airport,YAA
629,Douglas Lake Airport,small_airport,DGF
30592,Fort MacKay/Albian Aerodrome,small_airport,JHL
28434,Tahsis Seaplane Base,seaplane_base,ZTS
631,Duncan Airport,small_airport,DUQ
28381,Port Simpson Seaplane Base,closed,YPI
634,Sechelt-Gibsons Airport,small_airport,YHS
28384,Powell Lake Seaplane Base,seaplane_base,WPL
643,Qualicum Beach Airport,small_airport,XQU
644,Port Mcneill Airport,small_airport,YMP
28396,Rivers Inlet Seaplane Base,seaplane_base,YRN
28432,Sullivan Bay Seaplane Base,seaplane_base,YTG
28175,Bella Bella/Shearwater Seaplane Base,seaplane_base,YSX
28235,Ganges Seaplane Base,seaplane_base,YGG
28252,Hartley Bay Seaplane Base,seaplane_base,YTB
657,Cache Creek-Ashcroft Regional Airport,small_airport,YZA
664,Bella Bella (Campbell Island) Airport,small_airport,ZEL
301825,Cherrabun Airport,small_airport,CBC
700,Telegraph Creek Airport,closed,YTX
717,Alberni Valley Regional Airport,small_airport,YPB
731,Bob Quinn Lake Airport,small_airport,YBO
736,Tungsten (Cantung) Airport,small_airport,TNS
737,Tumbler Ridge Airport,small_airport,TUX
743,Williams Harbour Airport,small_airport,YWM
750,Postville Airport,small_airport,YSO
752,Black Tickle Airport,small_airport,YBI
764,St. Lewis (Fox Harbour) Airport,small_airport,YFX
771,Port Hope Simpson Airport,small_airport,YHA
793,Rigolet Airport,small_airport,YRG
814,Diavik Airport,small_airport,DVK
43879,Doris Lake,small_airport,JOJ
834,Fairview Airport,small_airport,ZFW
836,Hinton/Jasper-Hinton Airport,small_airport,YJP
