Airport_ID,Name,Type,City,Country_Code,IATA,Latitude,Longitude,Altitude
6169,Tres Esquinas Air Base,medium_airport,Tres Esquinas,CO,TQS,0.7459,-75.234,585
32475,Gonzalo Mejía Airport,small_airport,Turbo,CO,TRB,8.07453,-76.7415,6
6171,Santiago Perez Airport,medium_airport,Arauca,CO,AUC,7.06888,-70.7369,420
6172,El Caraño Airport,medium_airport,Quibdó,CO,UIB,5.69076,-76.6412,204
6173,Heriberto Gíl Martínez Airport,medium_airport,Tuluá,CO,ULQ,4.08836,-76.2351,3132
32550,Urrao Airport,small_airport,Urrao,CO,URR,6.32883,-76.1425,6090
6174,Villa Garzón Airport,small_airport,Villa Garzón,CO,VGZ,0.978767,-76.6056,1248
6175,Velásquez Airport,small_airport,Puerto Boyacá,CO,PYA,5.93904,-74.457,566
6176,Alfonso López Pumarejo Airport,medium_airport,Valledupar,CO,VUP,10.435,-73.2495,483
6177,Vanguardia Airport,medium_airport,Villavicencio,CO,VVC,4.16787,-73.6138,1394
30667,Yaguara Airport,small_airport,San Vicente Del Caguán,CO,AYG,1.54417,-73.9333,812
6178,El Yopal Airport,medium_airport,El Yopal,CO,EYP,5.31911,-72.384,1028
32321,Monteagudo Airport,small_airport,El Bañado,BO,MHW,-19.82699966430664,-63.96099853515625,3674
333229,Alcantarí Airport,medium_airport,Yamparaez,BO,SRE,-19.246835,-65.149611,10184
29662,Apolo Airport,small_airport,Apolo,BO,APB,-14.735600471496582,-68.41190338134766,4639
29671,Ascención De Guarayos Airport,small_airport,Ascensión de Guarayos,BO,ASC,-15.930299758911133,-63.156700134277344,807
6179,Bermejo Airport,medium_airport,Bermejo,BO,BJO,-22.7733001709,-64.31289672850001,1249
29751,Camiri Airport,small_airport,Camiri,BO,CAM,-20.006399154663086,-63.527801513671875,2614
6180,Jorge Wilsterman International Airport,medium_airport,Cochabamba,BO,CBB,-17.421100616455078,-66.1771011352539,8360
6181,Chimore Airport,small_airport,Chimore,BO,CCA,-16.976834,-65.145568,875
6182,Capitán Aníbal Arab Airport,medium_airport,Cobija,BO,CIJ,-11.040399551400002,-68.7829971313,889
29797,Concepción Airport,small_airport,Concepción,BO,CEP,-16.1382999420166,-62.02859878540039,1620
6183,El Trompillo Airport,medium_airport,Santa Cruz,BO,SRZ,-17.8115997314,-63.1715011597,1371
29926,Capitán de Av. Emilio Beltrán Airport,small_airport,Guayaramerín,BO,GYA,-10.820599556,-65.3455963135,557
39441,Huacaraje Airport,small_airport,Itenes,BO,BVK,-13.5500001907,-63.747898101800004,846
309474,Solomon Airport,small_airport,Karijini National Park,AU,SLJ,-22.2554,117.7627,2030
30376,San José De Chiquitos Airport,small_airport,San José de Chiquitos,BO,SJS,-17.830799102783203,-60.743099212646484,974
30386,San Joaquín Airport,small_airport,San Joaquín,BO,SJB,-13.0528,-64.661697,456
30375,San Javier Airport,small_airport,San Javier,BO,SJV,-16.27079963684082,-62.470298767089844,1702
6184,El Alto International Airport,medium_airport,La Paz / El Alto,BO,LPB,-16.5132999420166,-68.19229888916016,13355
30099,Magdalena Airport,small_airport,Magdalena,BO,MGD,-13.2607483767,-64.0607643127,462
6185,Juan Mendoza Airport,medium_airport,Oruro,BO,ORU,-17.962600708,-67.0762023926,12152
6186,Capitan Nicolas Rojas Airport,medium_airport,Potosí,BO,POI,-19.543331,-65.723734,12922
39530,Puerto Rico Airport,small_airport,Puerto Rico/Manuripi,BO,PUR,-11.107663,-67.551155,597
6187,Capitán Av. Salvador Ogaya G. airport,medium_airport,Puerto Suárez,BO,PSZ,-18.975301,-57.820599,440
30388,San Ramón Airport,small_airport,San Ramón / Mamoré,BO,SRD,-13.2639,-64.603897,698
30345,Roboré Airport,small_airport,Roboré,BO,RBO,-18.329200744628906,-59.76499938964844,905
30334,Capitán Av. Selin Zeitun Lopez Airport,small_airport,Riberalta,BO,RIB,-11,-66,462
30331,Reyes Airport,small_airport,Reyes,BO,REY,-14.3044,-67.353401,935
6188,Santa Ana Del Yacuma Airport,medium_airport,Santa Ana del Yacuma,BO,SBL,-13.762200355500001,-65.4352035522,472
30364,Capitán Av. German Quiroga G. Airport,small_airport,San Borja,BO,SRJ,-14.859199523925781,-66.73750305175781,633
30372,Capitán Av. Juan Cochamanidis S. Airport,small_airport,San Ignacio de Velasco,BO,SNG,-16.38360023498535,-60.962799072265625,1354
30371,San Ignacio de Moxos Airport,small_airport,San Ignacio de Moxos,BO,SNM,-14.9658,-65.6338,545
39464,Santa Rosa De Yacuma Airport,small_airport,Santa Rosa,BO,SRB,-14.066200256347656,-66.78679656982422,738
30387,San Matías Airport,small_airport,San Matías,BO,MQK,-16.33919906616211,-58.40190124511719,403
6190,Capitan Oriel Lea Plaza Airport,medium_airport,Tarija,BO,TJA,-21.5557003021,-64.7013015747,6079
6191,Teniente Av. Jorge Henrich Arauz Airport,medium_airport,Trinidad,BO,TDD,-14.8186998367,-64.9179992676,509
